subjectID,block,trial,randDelay,randLevelX,randLevelY,partcleSize,xPos,yPos,Particle_0_X,Particle_0_Y,Particle_1_X,Particle_1_Y,Particle_2_X,Particle_2_Y,Particle_3_X,Particle_3_Y,Particle_4_X,Particle_4_Y
GG01,1,1,1000,0,0,20,574,212,0.0,300.0,-50.0,215.85290151921035,-100.0,209.0702573174318,-150.0,285.8879991940133,-200.0,375.6802495307928
GG01,1,1,1000,0,0,20,574,212,0.5,300.99998333341665,-49.5,216.39740213994793,-99.5,208.6586638658775,-149.5,284.8987287913656,-199.5,375.02283282299186
GG01,1,1,1000,0,0,20,574,212,0.9,301.7999028015746,-49.1,216.8390246151381,-99.1,208.3359636810564,-149.1,284.1083950082496,-199.1,374.49149467696685
GG01,1,1,1000,0,0,20,574,212,1.3,302.59970707656765,-48.7,217.28596936436733,-98.7,208.01912996327178,-148.7,283.3190782824288,-198.7,373.9553891007089
GG01,1,1,1000,0,0,20,574,212,1.9,303.7990855326937,-48.1,217.96630308741402,-98.1,207.55492326578974,-148.1,282.1371206612841,-198.1,373.14236694190515
GG01,1,1,1000,0,0,20,574,212,2.3,304.5983779049605,-47.7,218.42642763727474,-97.7,207.25284360407545,-147.7,281.35056743586324,-197.7,372.5944935608536
GG01,1,1,1000,0,0,20,574,212,2.7,305.397375982611,-47.3,218.8917728679229,-97.3,206.95669972871292,-147.3,280.56520776776085,-197.3,372.0419741569931
GG01,1,1,1000,0,0,20,574,212,3.2,306.3956318280309,-46.8,219.48075058601322,-96.8,206.59489592167125,-146.8,279.5852631872376,-196.8,371.3448453310753
GG01,1,1,1000,0,0,20,574,212,3.6,307.1937808122324,-46.4,219.9577329523033,-96.4,206.31217628219977,-146.4,278.80277267470615,-196.4,370.78200211406545
GG01,1,1,1000,0,0,20,574,212,4.0,307.9914693969173,-46.0,220.4398379963634,-96.0,206.0354526314675,-146.0,278.0216387774883,-196.0,370.2146288730805
GG01,1,1,1000,0,0,20,574,212,4.4,308.78864653028853,-45.6,220.92703486363524,-95.6,205.76474267969368,-145.6,277.24191148788674,-195.6,369.6427619198143
GG01,1,1,1000,0,0,20,574,212,4.9,309.7843209976177,-45.1,221.54314379180852,-95.1,205.43483836148044,-145.1,276.26930643202047,-195.1,368.92166472926044
GG01,1,1,1000,0,0,20,574,212,5.3,310.58016088223025,-44.7,222.04168276462957,-94.7,205.17772199002863,-144.7,275.49292632245573,-194.7,368.33982117385625
GG01,1,1,1000,0,0,20,574,212,5.7,311.3753236401576,-44.3,222.54521104314395,-94.3,204.9266742120035,-144.3,274.7181146572413,-194.3,367.7536038932236
GG01,1,1,1000,0,0,20,574,212,6.1,312.1697583812548,-43.9,223.05369640171372,-93.9,204.6817110943772,-143.9,273.9449210240592,-193.9,367.16305040506825
GG01,1,1,1000,0,0,20,574,212,6.6,313.16170058168433,-43.4,223.6962243866571,-93.4,204.38408759764707,-143.4,272.98077971598826,-193.4,366.4188183579314
GG01,1,1,1000,0,0,20,574,212,7.0,313.95431146442365,-43.0,224.2157437104723,-93.0,204.1528716921086,-143.0,272.2114074183413,-193.0,365.8186470104905
GG01,1,1,1000,0,0,20,574,212,7.4,314.7460292759923,-42.6,224.7401132008224,-92.6,203.92778997006604,-142.6,271.4438135811345,-192.6,365.21426329210703
GG01,1,1,1000,0,0,20,574,212,8.0,315.9318206614246,-42.0,225.53568800291407,-92.0,203.6017003847552,-142.0,270.29586486931674,-192.0,364.2998742053909
