subjectID,block,trial,trialLen,RTTime,trialTime,trialScore
BB01,1,1,3.377165899811799,1.8914241790771484,3.1184253692626953,5
BB01,1,2,3.7449865439396737,nan,2.716897964477539,5
BB01,1,3,3.6923331074788557,2.2206764221191406,3.054405450820923,5
BB01,1,4,4.677415642021954,2.003089666366577,3.6515023708343506,5
BB01,1,5,4.650645126071396,1.1137456893920898,3.0407228469848633,5
BB01,2,1,4.571685198034233,nan,4.573364019393921,2
BB01,2,2,4.630146582126381,0.41055798530578613,3.285947322845459,5
BB01,2,3,4.307908167788167,1.7918477058410645,4.308007717132568,4
BB01,2,4,4.226772994539243,1.9188106060028076,4.228266477584839,3
BB01,2,5,4.448981103195337,2.0976738929748535,3.9267585277557373,5
