subjectID,block,trial,randDelay,randLevelX,randLevelY,partcleSize,xPos,yPos,Particle_0_X,Particle_0_Y,Particle_1_X,Particle_1_Y,Particle_2_X,Particle_2_Y,Particle_3_X,Particle_3_Y,Particle_4_X,Particle_4_Y
DD01,1,1,1000,0,0,20,612,121,0.0,300.0,-50.0,215.85290151921035,-100.0,209.0702573174318,-150.0,285.8879991940133,-200.0,375.6802495307928
DD01,1,1,1000,0,0,20,612,121,0.7,301.3999542671149,-49.3,216.617546318803,-99.3,208.49658174709694,-149.3,284.50343792747634,-199.3,374.75776181127645
DD01,1,1,1000,0,0,20,612,121,1.4,302.799634147675,-48.6,217.39853381238385,-98.6,207.94084055380858,-148.6,283.12191393749623,-198.6,373.820621809768
DD01,1,1,1000,0,0,20,612,121,2.0,303.9989334186634,-48.0,218.08084316990016,-98.0,207.47884792118316,-148.0,281.9403732105767,-198.0,373.0058360839299
DD01,1,1,1000,0,0,20,612,121,2.9,305.7967486802535,-47.1,219.12639394468698,-97.1,206.81085964863217,-147.1,280.1729912278855,-197.1,371.76398323528525
DD01,1,1,1000,0,0,20,612,121,3.5,306.99428473375326,-46.5,219.83800591162228,-96.5,206.38229476836938,-146.5,278.99827007491007,-196.5,370.9231390201386
DD01,1,1,1000,0,0,20,612,121,4.1,308.1908136223375,-45.9,220.56116106718707,-95.9,205.96721067588936,-145.9,277.826573134753,-195.9,370.07208199552764
DD01,1,1,1000,0,0,20,612,121,4.7,309.38616304791367,-45.3,221.29575527828848,-95.3,205.56566714258412,-145.3,276.6580691297491,-195.3,369.2109347121933
DD01,1,1,1000,0,0,20,612,121,5.4,310.77901704100077,-44.6,222.16709834022214,-94.6,205.11439048062698,-144.6,275.29907442573557,-194.6,368.19367542966825
DD01,1,1,1000,0,0,20,612,121,6.0,311.9712207288919,-44.0,222.92611211010308,-94.0,204.74238057284046,-144.0,274.1380650338889,-194.0,367.3110932343562
DD01,1,1,1000,0,0,20,612,121,6.6,313.16170058168433,-43.4,223.6962243866571,-93.4,204.38408759764707,-143.4,272.98077971598826,-193.4,366.4188183579314
DD01,1,1,1000,0,0,20,612,121,7.2,314.35028517233627,-42.8,224.47732427504712,-92.8,204.03956314861608,-142.8,271.8273851191194,-192.8,365.5169792864342
DD01,1,1,1000,0,0,20,612,121,7.8,315.5368033467206,-42.2,225.269299298239,-92.2,203.70885683667288,-142.2,270.6780473301114,-192.2,364.60570588313254
DD01,1,1,1000,0,0,20,612,121,8.4,316.7210842482704,-41.6,226.0720354131979,-91.6,203.3920162829549,-141.6,269.5329318516197,-191.6,363.6851293698219
DD01,1,1,1000,0,0,20,612,121,9.0,317.9029573425824,-41.0,226.88541702731044,-91.0,203.08908711195437,-141.0,268.39220357829464,-191.0,362.7553823079293
DD01,1,1,1000,0,0,20,612,121,9.6,319.08225244197325,-40.4,227.7093270150296,-90.4,202.80011294494847,-140.4,267.2560267730363,-190.4,361.81659857942526
DD01,1,1,1000,0,0,20,612,121,10.2,320.2587997299864,-39.8,228.54364673474092,-89.8,202.5251353937179,-139.8,266.12456504334125,-189.8,360.8689133675443
DD01,1,1,1000,0,0,20,612,121,10.8,321.43242978584544,-39.2,229.38825604584645,-89.2,202.26419405455488,-139.2,264.99798131774344,-189.2,359.9124631373193
DD01,1,1,1000,0,0,20,612,121,11.5,322.79775235351883,-38.5,230.3864761372643,-88.5,201.97755272119545,-138.5,263.6900152795832,-188.5,358.7857103378483
DD01,1,1,1000,0,0,20,612,121,12.2,324.1586066347137,-37.8,231.3983402565047,-87.8,201.71012347370223,-137.8,262.3891658821885,-187.8,357.64743572734244
DD01,1,1,1000,0,0,20,612,121,12.8,325.32129456460956,-37.2,232.27636163100289,-87.2,201.4962294902921,-137.2,261.2800096827946,-187.2,356.66277040655166
DD01,1,1,1000,0,0,20,612,121,13.4,326.48033627184316,-36.6,233.16413509240033,-86.6,201.2965198796217,-136.6,260.1764290950987,-186.6,355.6699457447352
DD01,1,1,1000,0,0,20,612,121,14.0,327.6355648564114,-36.0,234.0615328028527,-86.0,201.11102339952987,-136.0,259.0785830327983,-186.0,354.6691047069287
DD01,1,1,1000,0,0,20,612,121,14.7,328.9782902770876,-35.3,235.12048830564538,-85.3,200.91261017879492,-135.3,257.80522128865,-185.3,353.49151735452847
DD01,1,1,1000,0,0,20,612,121,15.4,330.31533604563805,-34.6,236.19215998503057,-84.6,200.7336177692553,-134.6,256.5401295860504,-184.6,352.3034458359697
DD01,1,1,1000,0,0,20,612,121,16.0,331.4566560616118,-34.0,237.12069759815313,-84.0,200.5956797801924,-134.0,255.4625355458129,-184.0,351.27693073557236
DD01,1,1,1000,0,0,20,612,121,16.7,332.7824595337101,-33.3,238.21542591474784,-83.3,200.4528447756046,-133.3,254.21345906454326,-183.3,350.0700079340889
DD01,1,1,1000,0,0,20,612,121,17.4,334.1018377486867,-32.6,239.32226381007152,-82.6,200.32952069475925,-132.6,252.9733565987199,-182.6,348.85327157134
DD01,1,1,1000,0,0,20,612,121,18.0,335.227423327509,-32.0,240.28045586376078,-82.0,200.23936186808265,-132.0,251.91773850113518,-182.0,347.8027246135343
DD01,1,1,1000,0,0,20,612,121,18.6,336.34793621824485,-31.4,241.24724742861082,-81.4,200.16356840091146,-131.4,250.86904416612052,-181.4,346.7452941459869
DD01,1,1,1000,0,0,20,612,121,19.3,337.6485747246155,-30.7,242.38585395046124,-80.7,200.09331335300533,-130.7,249.65451971550496,-180.7,345.5031284714914
