subjectID,block,trial,randDelay,randLevelX,randLevelY,partcleSize,xPos,yPos,Particle_0_X,Particle_0_Y,Particle_1_X,Particle_1_Y,Particle_2_X,Particle_2_Y,Particle_3_X,Particle_3_Y,Particle_4_X,Particle_4_Y
AA01,1,1,1000,0,0,20,623,411,0.0,300.0,-50.0,215.85290151921035,-100.0,209.0702573174318,-150.0,285.8879991940133,-200.0,375.6802495307928
AA01,1,1,1000,0,0,20,623,411,0.7,301.3999542671149,-49.3,216.617546318803,-99.3,208.49658174709694,-149.3,284.50343792747634,-199.3,374.75776181127645
AA01,1,1,1000,0,0,20,623,411,1.4,302.799634147675,-48.6,217.39853381238385,-98.6,207.94084055380858,-148.6,283.12191393749623,-198.6,373.820621809768
AA01,1,1,1000,0,0,20,623,411,2.2,304.3985804040905,-47.8,218.31090590495583,-97.8,207.32780778824588,-147.8,281.5470958113118,-197.8,372.73189884552994
AA01,1,1,1000,0,0,20,623,411,3.2,306.3956318280309,-46.8,219.48075058601322,-96.8,206.59489592167125,-146.8,279.5852631872376,-196.8,371.3448453310753
AA01,1,1,1000,0,0,20,623,411,4.1,308.1908136223375,-45.9,220.56116106718707,-95.9,205.96721067588936,-145.9,277.826573134753,-195.9,370.07208199552764
AA01,1,1,1000,0,0,20,623,411,4.9,309.7843209976177,-45.1,221.54314379180852,-95.1,205.43483836148044,-145.1,276.26930643202047,-195.1,368.92166472926044
AA01,1,1,1000,0,0,20,623,411,5.8,311.5740025639073,-44.2,222.67186892233198,-94.2,204.86486237661717,-144.2,274.5246626236749,-194.2,367.6063705689883
AA01,1,1,1000,0,0,20,623,411,6.5,312.9634142619695,-43.5,223.5671062974495,-93.5,204.4428483147056,-143.5,273.1733949070382,-193.5,366.5681985046119
AA01,1,1,1000,0,0,20,623,411,7.4,314.7460292759923,-42.6,224.7401132008224,-92.6,203.92778997006604,-142.6,271.4438135811345,-192.6,365.21426329210703
AA01,1,1,1000,0,0,20,623,411,8.1,316.12923412283874,-41.9,225.66932940766165,-91.9,203.54870044163022,-141.9,270.1049514816066,-191.9,364.146572261314
AA01,1,1,1000,0,0,20,623,411,8.9,317.7061529293012,-41.1,226.7491191059329,-91.1,203.13860736282498,-141.1,268.5820133111373,-191.1,362.91097132972095
AA01,1,1,1000,0,0,20,623,411,9.7,319.27853905731206,-40.3,227.84766062966895,-90.3,202.75331027154706,-140.3,267.06711797367774,-190.3,361.65926553304223
AA01,1,1,1000,0,0,20,623,411,10.6,321.04155434518464,-39.4,229.1055837981308,-89.4,202.34961256072427,-139.4,265.3729571971535,-189.4,360.2322452957302
AA01,1,1,1000,0,0,20,623,411,11.4,322.6029736088504,-38.6,230.24303332606485,-88.6,202.01732650256133,-138.6,263.8764378223527,-188.6,358.94738561593084
AA01,1,1,1000,0,0,20,623,411,12.2,324.1586066347137,-37.8,231.3983402565047,-87.8,201.71012347370223,-137.8,262.3891658821885,-187.8,357.64743572734244
AA01,1,1,1000,0,0,20,623,411,13.0,325.7080551892155,-37.0,232.5712088371855,-87.0,201.42808211644467,-137.0,260.9115221101548,-187.0,356.332728410037
AA01,1,1,1000,0,0,20,623,411,13.9,327.44329862577865,-36.1,233.91130363415567,-86.1,201.14095129765133,-136.1,259.2611524262249,-186.1,354.83646213730594
AA01,1,1,1000,0,0,20,623,411,14.7,328.9782902770876,-35.3,235.12048830564538,-85.3,200.91261017879492,-135.3,257.80522128865,-185.3,353.49151735452847
AA01,1,1,1000,0,0,20,623,411,15.5,330.50586364434434,-34.5,236.3462817778032,-84.5,200.70963489058815,-134.5,256.3600917839874,-184.5,352.1328790354406
AA01,1,1,1000,0,0,20,623,411,16.4,332.215029688336,-33.6,237.74476126483341,-83.6,200.51167222969988,-133.6,254.7476929326497,-183.6,350.58847606161515
AA01,1,1,1000,0,0,20,623,411,17.2,333.72554328537063,-32.8,239.00480134542545,-82.8,200.36276375472562,-132.8,253.3267416672739,-182.8,349.20189804617183
AA01,1,1,1000,0,0,20,623,411,18.0,335.227423327509,-32.0,240.28045586376078,-82.0,200.23936186808265,-132.0,251.91773850113518,-182.0,347.8027246135343
AA01,1,1,1000,0,0,20,623,411,18.8,336.7202853416626,-31.2,241.57139825924946,-81.2,200.14149815997996,-131.2,250.52104413134913,-181.2,346.39131394446
AA01,1,1,1000,0,0,20,623,411,19.6,338.2037471633087,-30.4,242.87729805768842,-80.4,200.06919768299244,-130.4,249.13701610404672,-180.4,344.96802735237236
AA01,1,1,1000,0,0,20,623,411,20.4,339.6774290343227,-29.6,244.19782095586115,-79.6,200.0224789456473,-129.6,247.76600872284433,-179.6,343.5332291908657
AA01,1,1,1000,0,0,20,623,411,21.2,341.1409537001937,-28.8,245.53262890711747,-78.8,200.00135390768617,-128.8,246.4083729581441,-178.8,342.08728676043364
AA01,1,1,1000,0,0,20,623,411,22.1,342.7748115307458,-27.9,247.0509373543512,-77.9,200.00818718725293,-127.9,244.89744858432354,-177.9,340.44774163453167
AA01,1,1,1000,0,0,20,623,411,22.9,344.2155115269287,-27.1,248.41496203994112,-77.1,200.0414585568406,-127.1,243.56937709414882,-177.1,338.9793500879457
AA01,1,1,1000,0,0,20,623,411,23.8,345.82275110831586,-26.2,249.9652569730086,-76.2,200.10947482967757,-126.2,242.09258085918208,-176.2,337.31550099300887
AA01,1,1,1000,0,0,20,623,411,24.6,347.23896114604725,-25.4,251.35692173228932,-75.4,200.19710414881584,-125.4,240.7956087462855,-175.4,335.8263576273812
