subjectID,block,trial,randDelay,randLevelX,randLevelY,partcleSize,xPos,yPos,Particle_0_X,Particle_0_Y,Particle_1_X,Particle_1_Y,Particle_2_X,Particle_2_Y,Particle_3_X,Particle_3_Y,Particle_4_X,Particle_4_Y
gg01,1,1,1000,0,0,20,551,214,0.0,300.0,-50.0,215.85290151921035,-100.0,209.0702573174318,-150.0,285.8879991940133,-200.0,375.6802495307928
gg01,1,1,1000,0,0,20,551,214,0.3,300.5999964000065,-49.7,216.17859560087516,-99.7,208.82220744408755,-149.7,285.294261275272,-199.7,375.2867034709826
gg01,1,1,1000,0,0,20,551,214,0.6,301.19997120020736,-49.4,216.50730724404562,-99.4,208.57743996142807,-149.4,284.7010527615367,-199.4,374.89044709797844
gg01,1,1,1000,0,0,20,551,214,0.9,301.7999028015746,-49.1,216.8390246151381,-99.1,208.3359636810564,-149.1,284.1083950082496,-199.1,374.49149467696685
gg01,1,1,1000,0,0,20,551,214,1.4,302.799634147675,-48.6,217.39853381238385,-98.6,207.94084055380858,-148.6,283.12191393749623,-198.6,373.820621809768
gg01,1,1,1000,0,0,20,551,214,1.7,303.39934497119515,-48.3,217.73820778332424,-98.3,207.70818298977346,-148.3,282.5308291299042,-198.3,373.4145504047919
gg01,1,1,1000,0,0,20,551,214,2.0,303.9989334186634,-48.0,218.08084316990016,-98.0,207.47884792118316,-148.0,281.9403732105767,-198.0,373.0058360839299
gg01,1,1,1000,0,0,20,551,214,2.3,304.5983779049605,-47.7,218.42642763727474,-97.7,207.25284360407545,-147.7,281.35056743586324,-197.7,372.5944935608536
gg01,1,1,1000,0,0,20,551,214,2.6,305.19765685014966,-47.4,218.7749487444444,-97.4,207.03017817458132,-147.4,280.76143303870793,-197.4,372.1805376438493
gg01,1,1,1000,0,0,20,551,214,2.9,305.7967486802535,-47.1,219.12639394468698,-97.1,206.81085964863217,-147.1,280.1729912278855,-197.1,371.76398323528525
gg01,1,1,1000,0,0,20,551,214,3.2,306.3956318280309,-46.8,219.48075058601322,-96.8,206.59489592167125,-146.8,279.5852631872376,-196.8,371.3448453310753
gg01,1,1,1000,0,0,20,551,214,3.5,306.99428473375326,-46.5,219.83800591162228,-96.5,206.38229476836938,-146.5,278.99827007491007,-196.5,370.9231390201386
gg01,1,1,1000,0,0,20,551,214,3.8,307.5926858459806,-46.2,220.19814706036107,-96.2,206.1730638423452,-146.2,278.4120330225917,-196.2,370.49887948385685
gg01,1,1,1000,0,0,20,551,214,4.1,308.1908136223375,-45.9,220.56116106718707,-95.9,205.96721067588936,-145.9,277.826573134753,-195.9,370.07208199552764
gg01,1,1,1000,0,0,20,551,214,4.4,308.78864653028853,-45.6,220.92703486363524,-95.6,205.76474267969368,-145.6,277.24191148788674,-195.6,369.6427619198143
gg01,1,1,1000,0,0,20,551,214,4.7,309.38616304791367,-45.3,221.29575527828848,-95.3,205.56566714258412,-145.3,276.6580691297491,-195.3,369.2109347121933
gg01,1,1,1000,0,0,20,551,214,4.9,309.7843209976177,-45.1,221.54314379180852,-95.1,205.43483836148044,-145.1,276.26930643202047,-195.1,368.92166472926044
gg01,1,1,1000,0,0,20,551,214,5.2,310.38126240283026,-44.8,221.91657902220197,-94.8,205.24143278841584,-144.8,275.686876247438,-194.8,368.4856935588508
gg01,1,1,1000,0,0,20,551,214,5.5,310.9778300837175,-44.5,222.2928252473176,-94.5,205.05143851353694,-144.5,275.10532133268475,-194.5,368.0472569108694
gg01,1,1,1000,0,0,20,551,214,5.8,311.5740025639073,-44.2,222.67186892233198,-94.2,204.86486237661717,-144.2,274.5246626236749,-194.2,367.6063705689883
gg01,1,1,1000,0,0,20,551,214,6.1,312.1697583812548,-43.9,223.05369640171372,-93.9,204.6817110943772,-143.9,273.9449210240592,-193.9,367.16305040506825
gg01,1,1,1000,0,0,20,551,214,6.4,312.7650760886149,-43.6,223.4382939397148,-93.6,204.50199126024347,-143.6,273.3661174044728,-193.6,366.71731237858717
gg01,1,1,1000,0,0,20,551,214,6.6,313.16170058168433,-43.4,223.6962243866571,-93.4,204.38408759764707,-143.4,272.98077971598826,-193.4,366.4188183579314
gg01,1,1,1000,0,0,20,551,214,6.9,313.7562404885963,-43.1,224.08540787229322,-93.1,204.2101011601251,-143.1,272.4035856835863,-193.1,365.96908626217316
gg01,1,1,1000,0,0,20,551,214,7.2,314.35028517233627,-42.8,224.47732427504712,-92.8,204.03956314861608,-142.8,271.8273851191194,-192.8,365.5169792864342
gg01,1,1,1000,0,0,20,551,214,7.5,314.9438132473599,-42.5,224.87195948597073,-92.5,203.87247970247,-142.5,271.25219876574556,-192.5,365.0625137065167
gg01,1,1,1000,0,0,20,551,214,7.8,315.5368033467206,-42.2,225.269299298239,-92.2,203.70885683667288,-142.2,270.6780473301114,-192.2,364.60570588313254
gg01,1,1,1000,0,0,20,551,214,8.0,315.9318206614246,-42.0,225.53568800291407,-92.0,203.6017003847552,-142.0,270.29586486931674,-192.0,364.2998742053909
gg01,1,1,1000,0,0,20,551,214,8.3,316.5238667055266,-41.7,225.9375036491519,-91.7,203.44385818104558,-141.7,269.7234842098237,-191.7,363.8391992287836
gg01,1,1,1000,0,0,20,551,214,8.6,317.1153178922117,-41.4,226.34198553725957,-91.4,203.28949198801345,-141.4,269.15219350162937,-191.4,363.37622604789885
gg01,1,1,1000,0,0,20,551,214,8.8,317.5092776914318,-41.2,226.6131141879813,-91.2,203.18851505913705,-141.2,268.7719487158848,-191.2,363.066308707711
