subjectID,block,trial,trialLen,RTTime,trialTime,trialScore
FF01,1,1,3.377165899811799,1.1251585483551025,3.2813727855682373,5
FF01,1,2,3.83269708718466,2.4359495639801025,3.390263795852661,5
FF01,1,3,4.533987962059804,1.7829573154449463,3.1859264373779297,5
FF01,1,4,4.005752748058484,2.1654367446899414,3.6017942428588867,5
FF01,1,5,4.582416607821983,1.7691264152526855,3.7121193408966064,5
FF01,2,1,4.516259848796095,nan,4.517880201339722,0
FF01,2,2,3.681213305979816,1.8034210205078125,3.684619665145874,4
FF01,2,3,4.479912747223272,1.38267183303833,4.282333135604858,5
FF01,2,4,3.1177986831151245,1.1474826335906982,3.1184141635894775,4
FF01,2,5,3.1102144967625542,1.7879679203033447,3.1140761375427246,3
