subjectID,block,trial,trialLen,RTTime,trialTime,trialScore
FF01,1,1,3.377165899811799,nan,2.987694501876831,5
FF01,1,2,4.468574108689537,1.6718494892120361,2.9478774070739746,5
FF01,1,3,4.788549322285578,1.9393565654754639,3.2546894550323486,5
FF01,1,4,4.677988941345937,1.8610789775848389,3.6795296669006348,5
FF01,1,5,4.965040907331794,1.7419180870056152,3.286933422088623,5
FF01,2,1,4.626079818576163,1.5110042095184326,3.9182279109954834,5
FF01,2,2,4.101525623448352,1.880420446395874,3.1115522384643555,5
FF01,2,3,3.6657772327659,1.9182121753692627,3.6700315475463867,4
FF01,2,4,4.092928380014861,2.166294813156128,4.0961997509002686,4
FF01,2,5,4.777863668759148,1.9154095649719238,3.169428586959839,5
