subjectID,block,trial,trialLen,RTTime,trialTime,trialScore
AA01,1,1,3.377165899811799,nan,2.7565321922302246,5
AA01,1,2,3.7602491339189865,nan,2.5128462314605713,5
AA01,1,3,3.704991814067278,nan,2.805816888809204,5
AA01,1,4,4.2645762650835195,nan,2.4014720916748047,5
