subjectID,block,trial,randDelay,randLevelX,randLevelY,partcleSize,xPos,yPos
A001,1,1,1000,0,0,20,364,356,0.0,300.0,-50.0,215.85290151921035,-100.0,209.0702573174318,-150.0,285.8879991940133,-200.0,375.6802495307928
A001,1,1,1000,0,0,20,364,356,1.8,303.59922245038695,-48.2,217.8520911396062,-98.2,207.63136839057995,-148.2,282.33393956348505,-198.2,373.27860523051015
A001,1,1,1000,0,0,20,364,356,2.7,305.397375982611,-47.3,218.8917728679229,-97.3,206.95669972871292,-147.3,280.56520776776085,-197.3,372.0419741569931
A001,1,1,1000,0,0,20,364,356,3.6,307.1937808122324,-46.4,219.9577329523033,-96.4,206.31217628219977,-146.4,278.80277267470615,-196.4,370.78200211406545
A001,1,1,1000,0,0,20,364,356,4.6,309.187027357906,-45.4,221.17253299976528,-95.4,205.631648270151,-145.4,276.85259091900855,-195.4,369.35515472718345
A001,1,1,1000,0,0,20,364,356,5.7,311.3753236401576,-44.3,222.54521104314395,-94.3,204.9266742120035,-144.3,274.7181146572413,-194.3,367.7536038932236
A001,1,1,1000,0,0,20,364,356,6.6,313.16170058168433,-43.4,223.6962243866571,-93.4,204.38408759764707,-143.4,272.98077971598826,-193.4,366.4188183579314
A001,1,1,1000,0,0,20,364,356,7.6,315.1415374434945,-42.4,225.00410628318093,-92.4,203.81755394482698,-142.4,271.0606989415232,-192.4,364.9105038709584
A001,1,1,1000,0,0,20,364,356,8.5,316.9182349066996,-41.5,226.20686288900373,-91.5,203.34056081667023,-141.5,269.3425013616477,-191.5,363.53080477042755
A001,1,1,1000,0,0,20,364,356,9.5,318.88588949765006,-40.5,227.57128256298574,-90.5,202.84730441776847,-140.5,267.445066548244,-190.5,361.97368435949636
A001,1,1,1000,0,0,20,364,356,10.3,320.4546118942549,-39.7,228.6837036646063,-89.7,202.48066939376753,-139.7,265.93645794886396,-189.7,360.7101099737022
A001,1,1,1000,0,0,20,364,356,11.2,322.21314566339703,-38.8,229.95698535964192,-88.8,202.0980496963203,-138.8,264.2497156442258,-188.8,359.2700281579467
A001,1,1,1000,0,0,20,364,356,12.1,323.96448256766274,-37.9,231.25296037869137,-87.9,201.7471493743344,-137.9,262.57455611897865,-187.9,357.81074337155655
A001,1,1,1000,0,0,20,364,356,12.9,325.51472590634734,-37.1,232.4236500814394,-87.1,201.46195872735154,-137.1,261.0956880878768,-187.1,356.4978624039815
A001,1,1,1000,0,0,20,364,356,13.9,327.44329862577865,-36.1,233.91130363415567,-86.1,201.14095129765133,-136.1,259.2611524262249,-186.1,354.83646213730594
A001,1,1,1000,0,0,20,364,356,14.7,328.9782902770876,-35.3,235.12048830564538,-85.3,200.91261017879492,-135.3,257.80522128865,-185.3,353.49151735452847
A001,1,1,1000,0,0,20,364,356,15.6,330.69626921963675,-34.4,236.50065818536385,-84.4,200.68604917324905,-134.4,256.180228541499,-184.4,351.962103703465
A001,1,1,1000,0,0,20,364,356,16.5,332.40430283948683,-33.5,237.90140129634403,-83.5,200.49166501898196,-133.5,254.56943301696936,-183.5,350.41585478536115
A001,1,1,1000,0,0,20,364,356,17.3,333.91375834452276,-32.7,239.16341090461086,-82.7,200.3459429166947,-132.7,253.149955432939,-182.7,349.02768286408894
A001,1,1,1000,0,0,20,364,356,18.2,335.60149923968015,-31.8,240.60177106706246,-81.8,200.21250064642024,-131.8,251.56739693782825,-181.8,347.45100512620434
A001,1,1,1000,0,0,20,364,356,19.1,337.27770556052246,-30.9,242.05937573607827,-80.9,200.11138865300472,-130.9,250.0005301824258,-180.9,345.8589536777557
A001,1,1,1000,0,0,20,364,356,20.0,338.9418342308651,-30.0,243.53575266049646,-80.0,200.0426396958495,-130.0,248.44986281785359,-180.0,344.2520443294852
A001,1,1,1000,0,0,20,364,356,20.9,340.59334608757626,-29.1,245.03042350710876,-79.1,200.00627604901524,-129.1,246.91589724677266,-179.1,342.6307977059647
A001,1,1,1000,0,0,20,364,356,21.9,342.4129111067249,-28.1,246.71203553588046,-78.1,200.00386874330857,-128.1,245.23168387235245,-178.1,340.81323627212504
A001,1,1,1000,0,0,20,364,356,22.8,344.0360354953183,-27.2,248.24372958527658,-77.2,200.03590000826162,-127.2,243.73460295558434,-177.2,339.1634524643699
A001,1,1,1000,0,0,20,364,356,23.7,345.6448925936343,-26.3,249.79219221352812,-76.3,200.1003187671355,-126.3,242.25575153525423,-176.3,337.5009800406147
A001,1,1,1000,0,0,20,364,356,24.5,347.0625888171158,-25.5,251.18227531170925,-75.5,200.1847527502452,-125.5,240.9569081886087,-175.5,336.0130099471968
A001,1,1,1000,0,0,20,364,356,25.4,348.6430782677107,-24.6,252.76103885395278,-74.6,200.31028246423978,-124.6,239.51379263421768,-174.6,334.32804290985894
A001,1,1,1000,0,0,20,364,356,26.2,350.0347430269914,-23.8,254.17724889168414,-73.8,200.44898080291875,-123.8,238.247460660903,-173.8,332.82094040082706
A001,1,1,1000,0,0,20,364,356,27.2,351.7562704147234,-22.8,255.9639645046817,-72.8,200.65818654645312,-122.8,236.6868137391704,-172.8,330.9252923963764
A001,1,1,1000,0,0,20,364,356,28.0,353.11861979208834,-22.0,257.4060534934,-72.0,200.85416518083136,-122.0,235.45650016656293,-172.0,329.39983124155674
A001,1,1,1000,0,0,20,364,356,28.9,354.6349916559818,-21.1,259.04141857978914,-71.1,201.10497637116242,-121.1,234.09216280912062,-171.1,327.6747108108095
A001,1,1,1000,0,0,20,364,356,29.7,355.9680325883576,-20.3,260.5062334394601,-70.3,201.354821131487,-120.3,232.89733134967457,-170.3,326.1337256651599
